Company,Contact Name,Title,Email/LinkedIn
Booz Allen Hamilton,,VP Programs or Director Learning,
SAIC,,VP Programs or Director Learning,
ManTech International,,VP Programs or Director Learning,
Leidos,,VP Programs or Director Learning,
General Dynamics,,VP Programs or Director Learning,
Concept Plus LLC,,VP Programs or Director Learning,
University of Dayton,,Director Training or CLO,
Miami University,,Director Training or CLO,
Ohio State University,,Director Training or CLO,
[Your Choice - Federal/Contractor],,Director or VP Level,
