Company,Contact Name,Title,Email/LinkedIn
Booz Allen Hamilton,,VP Programs or Director Learning,
SAIC,,VP Programs or Director Learning,
ManTech International,,VP Programs or Director Learning,
Leidos,,VP Programs or Director Learning,
General Dynamics,,VP Programs or Director Learning,
Concept Plus LLC,,VP Programs or Director Learning,
University of Dayton,,Director Training or Chief Learning Officer,
Miami University,,Director Training or Chief Learning Officer,
Ohio State University,,Director Training or Chief Learning Officer,
[Your Choice - Federal Agency or Contractor],,Director or VP Level,
